country_code,report_date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
ITA,2021-11-26,4982022,133537,4675867,117226273,95419157,47175994,45715009,5354,606,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-27,4994891,133627,4682318,117823171,95734711,47205835,45736390,5450,624,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-28,5007818,133674,4687701,118335763,95896190,47221249,45746287,5602,638,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-29,5015790,133739,4692408,118611763,96276455,47255228,45768611,5804,669,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-30,5028547,133828,4700449,119331735,96696373,47288393,45791699,5910,683,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-01,5043620,133931,4709906,119905510,97161648,47320858,45813222,5934,686,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-02,5060430,134003,4717556,120584972,97656959,47354521,45836987,5996,698,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-03,5077445,134077,4727214,121173417,98181972,47389596,45862239,6093,708,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-04,5094072,134152,4736202,121810009,98653075,47422218,45884600,6160,732,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-05,5109082,134195,4742887,122335117,98947828,47445576,45896524,6333,736,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-06,5118576,134287,4748454,122636677,99472442,47490347,45922344,6622,743,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-07,5134318,134386,4759038,123331813,100016417,47533404,45946472,6854,776,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-08,5152264,134472,4768578,123896511,100297984,47557292,45956474,6890,791,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-09,5164780,134551,4775676,124209339,100856478,47595967,45988051,7144,811,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-10,5185270,134669,4787453,124925626,101435361,47632453,46016115,7299,816,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-11,5206305,134765,4797658,125490703,101947194,47664663,46039675,7357,818,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-12,5225517,134831,4805809,125992518,102272367,47686064,46051979,7526,829,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-13,5238221,134929,4812535,126306054,102795811,47719189,46078128,7807,856,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-14,5258886,135049,4826443,127082617,103344815,47752241,46103298,8026,863,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-15,5282076,135178,4841245,127717255,103915271,47783545,46128631,8179,870,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-16,5308180,135301,4854949,128435536,104505537,47829720,46156510,8255,917,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-17,5336795,135421,4869406,129104696,105089809,47870930,46185872,8443,923,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-18,5364852,135544,4881836,129802436,105634823,47923967,46212922,8529,953,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-19,5389155,135641,4891239,130368736,105985572,47961856,46228060,8692,966,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-20,5405360,135778,4899879,130705958,106531860,48003635,46258677,9088,987,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-21,5436143,135931,4916068,131557823,107093271,48044774,46289042,9393,1012,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
